"NoticeId","Title","Sol#","Department/Ind.Agency","CGAC","Sub-Tier","FPDS Code","Office","AAC Code","PostedDate","Type","BaseType","ArchiveType","ArchiveDate","SetASideCode","SetASide","ResponseDeadLine","NaicsCode","ClassificationCode","PopStreetAddress","PopCity","PopState","PopZip","PopCountry","Active","AwardNumber","AwardDate","Award$","Awardee","PrimaryContactTitle","PrimaryContactFullname","PrimaryContactEmail","PrimaryContactPhone","PrimaryContactFax","SecondaryContactTitle","SecondaryContactFullname","SecondaryContactEmail","SecondaryContactPhone","SecondaryContactFax","OrganizationType","State","City","ZipCode","CountryCode","AdditionalInfoLink","Link","Description"
"e891791f4756475c9382ba5bb514eb2a","CLC Deficiencies","539-22-205","VETERANS AFFAIRS, DEPARTMENT OF","036","VETERANS AFFAIRS, DEPARTMENT OF","3600","250-NETWORK CONTRACT OFFICE 10 (36C250)","36C250","2023-06-07 23:19:24.401-04","Solicitation","Presolicitation","auto15","2023-07-21","SDVOSBC","Service-Disabled Veteran-Owned Small Business (SDVOSB) Set-Aside (FAR 19.14)","2023-07-06T10:00:00-04:00","236220","Z1DA","","Cincinnati","OH","45220","USA","Yes","","","","","","Patrice M. Richardson-Scott","Patrice.richardson-scott@va.gov","5135593718","","","","","","","OFFICE","OH","DAYTON","45428","USA","","https://sam.gov/opp/e891791f4756475c9382ba5bb514eb2a/view","The scope of work involves but is not limited to, general construction, alterations, mechanical and electrical work, necessary demolition and removal of flooring, thresholds, walls, ceilings, piping, ductwork and certain other items necessary for completion and installation of new work. �Due to the location ����of affected areas, some of this work will have to be scheduled outside of normal facility business hours.� �A full list of requirements and further details are provided in the project drawings and specifications."
"ec1f62f6cd7540248c5a4667540ce701","Repair of ALQ-161 Band 5 TWT","FA852223R0012","DEPT OF DEFENSE","057","DEPT OF THE AIR FORCE","5700","FA8522  AFSC PZABB","FA8522","2023-06-07 23:04:40.475-04","Solicitation","Special Notice","autocustom","2023-08-07","","","2023-07-07T15:30:00-04:00","811210","J059","","","","","","Yes","","","","","","Bret M. Cox","bret.cox.1@us.af.mil","","","","Teresa Duval","teresa.duval@us.af.mil","","","OFFICE","GA","ROBINS AFB","31098-1670","USA","","https://sam.gov/opp/ec1f62f6cd7540248c5a4667540ce701/view","The 408 SCMS/GULA has a requirement for the ALQ-161 Band 5 Traveling Wave Tube (TWT), Output NSN: 5960-01-217-1479EW, PN: 442349-1. This effort consolidates repair requirements into a single, long-term vehicle in order to provide significantly improved delivery times and lower total cost to the Government. The Government intends to award a five year Firm-Fixed-Price (FFP), Requirements contract with best estimated quantities (BEQs). The resultant contract will be structured with one Basic Contract Period of twelve (12) months and four (4) annual ordering periods and will be sole source to Stellant Systems, Inc. The contract will contain one CLIN (X001) for repair with a SubCLIN (X001AA) for Test, Teardown, and Evaluation (TT&E), a SubCLIN (X001AB) for Minor Repair, a SubCLIN (X001AC) for Major Repair, and a SubCLIN (X001AD) for Total Overhaul/Rebuild. With one CLIN (X002) for DATA with twelve ELINS (A001 � A012). The contractor shall provide timely response to Mission Impaired Capability Awaiting Parts (MICAP) and Surge requirements. Data delivery of quality products shall be on time and accurate to include data deliverables as well as free flowing communication from the contractor pertaining to any production problems, delivery schedule problems, and/or mishap notifications. Repair to either stock number will be output as NSN 5960-01-217-1479EW with a turnaround time of 180 calendar days after receipt of order or asset, whichever is later. Solicitation is available for viewing or downloading from www.SAM.gov website only. NO HARD COPIES WILL BE ISSUED. Restricted to Stellant Systems, Inc, Authority: U.S.C. 2304�(1) or FAR 6.302 Justification: Supplies (or Services) required are available from only one or a limited number of responsible source(s) and no other type of supplies or services will satisfy agency requirements. All responsible sources may submit a capability statement, proposal or quotation, which shall be considered by the agency. Interested persons may identify their interest and capability to respond to the requirement or submit proposals. This is a request for competitive proposals. All proposals received within thirty days after date of publication of this solicitation will be considered by the Government. A determination by the Government not to compete this proposed contract based upon responses to this notice is solely within the discretion of the Government. It is suggested that firms interested in subcontracting opportunities in connection with the described procurement make contact with the firm(s) listed. Foreign participation at the prime contractor level is not permitted. All questions regarding the RFP must be submitted in writing to bret.cox.1@us.af.mil or teresa.duval@us.af.mil. NO TELPHONIC QUESTIONS. Offerors are encouraged to register to receive notification for the solicitation and all amendments/revisions and to check the SAM site prior to submission of their proposal. Proposals should contain Company Name, Address, Point of Contact, CAGE, Size of Business pursuant to North American Industry Classification System (NAICS). For assistance interpreting the SAM announcements, please see the SAM vendor�s guide. The Government�s requirements are as referenced below. INPUT: ��������������� NSN 5960-01-217-1479EW, P/N: 442349-1����������� � � � � � � � � � � � � � � �NSN 5960-01-174-3119EW, L-2120-50 or 435335-1 OUTPUT:������������ NSN 5960-01-217-1479EW, 442349-1 The best estimated quantities (BEQs) referenced below are listed by ordering period (Basic, Ordering Period I, Ordering Period II, Ordering Period III, and Ordering Period IV)-respectively. Basic Ordering Period: �� Major Repair BEQ: 17; Minor Repair BEQ: 2; Total Overhaul: 1; TT&E: 20 Ordering Period I: ���������� Major Repair BEQ: 17; Minor Repair BEQ: 2; Total Overhaul: 1; TT&E: 20 Ordering Period II:���������� Major Repair BEQ: 17; Minor Repair BEQ: 2; Total Overhaul: 1; TT&E: 20 Ordering Period III: �������� Major Repair BEQ: 17; Minor Repair BEQ: 2; Total Overhaul: 1; TT&E: 20 Ordering Period IV: �������� Major Repair BEQ: 17; Minor Repair BEQ: 2; Total Overhaul: 1; TT&E: 20"
"09589eda6d1941d5ad87d428a9344ea2","F103--Water Treatment Services at James J. Peters VA Medical Center","36C24223Q0794","VETERANS AFFAIRS, DEPARTMENT OF","036","VETERANS AFFAIRS, DEPARTMENT OF","3600","242-NETWORK CONTRACT OFFICE 02 (36C242)","36C242","2023-06-07 23:02:26.14-04","Presolicitation","Presolicitation","autocustom","2023-07-16","SBA","Total Small Business Set-Aside (FAR 19.5)","2023-06-16T15:00:00-04:00","561210","F103","James J. Peters VA Medical Center 130 West Kingsbridge Road Bronx NY  10468-3904","","","","","Yes","","","","null ","Andres Cepeda","Contracting Officer","andres.cepeda@va.gov","(908) 647-1080 ext 4457","","","","","","","OFFICE","NY","ALBANY","12208","USA","","https://sam.gov/opp/09589eda6d1941d5ad87d428a9344ea2/view","The Department of Veterans Affairs, Network Contracting Office (NCO) 2 intends to release a commercial Total Small Business Set-Aside solicitation for Water Treatment Services at The Department of Veterans Affairs, James J. Peters VA Medical Center. The Request for Quote (RFQ)/Solicitation number is 36C24223Q0794 and will be released on or about second week of June 2023. All other contract details including full specification and will be included in the RFQ. The closing date for the solicitation will be June 16, 2023 at 3:00 PM EST. The North American Industry Classification Systems (NAICS) is 561210 (Facility Support Services) and the standard size is $41.5 Million."
"0b30fe1ef71046d090e0beef36b5234c","Biomedical Advanced Research and Development Authority (BARDA) Broad Agency Announcement (BAA)","BARDABAA","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","075","OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE","7505","ASPR OFFICE OF THE ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE","75AN00","2023-06-07 22:56:02.883-04","Solicitation","Solicitation","autocustom","2023-09-25","","","2023-09-25T16:30:00-04:00","541714","AN13","","Washington","DC","20515","USA","Yes","","","","","","BARDA-BAA@hhs.gov","BARDA-BAA@hhs.gov","","","","BARDA-BAA@hhs.gov","BARDA-BAA@hhs.gov","","","OFFICE","DC","Washington","20201","USA","","https://sam.gov/opp/0b30fe1ef71046d090e0beef36b5234c/view","We appreciate your interest in partnering with BARDA.� The latest BARDA Broad Agency Announcement (BAA) is amendment 44 posted on June 7, 2023. All contracting related inquiries should be sent to BARDA-BAA@hhs.gov. BARDA will continuously review and expedite COVID-19 response related white papers and full proposals. Offerors should also complete the Submission Data Integration Table. The final white paper submission deadline is �September 25, 2023, at 4:30 PM Eastern Time. The final full proposal submission deadline is September 25, 2023, at 4:30 PM Eastern Time for open areas of interest or as specified in the invitation letter."
"8f12d29f503a49968f34e9990f687c0b","F103--Water Treatment Services at Northport VA Medical Center","36C24223Q0795","VETERANS AFFAIRS, DEPARTMENT OF","036","VETERANS AFFAIRS, DEPARTMENT OF","3600","242-NETWORK CONTRACT OFFICE 02 (36C242)","36C242","2023-06-07 22:50:56.192-04","Presolicitation","Presolicitation","autocustom","2023-07-16","SBA","Total Small Business Set-Aside (FAR 19.5)","2023-06-16T15:00:00-04:00","561210","F103","Northport VA Medical Center 79 Middleville Rd Northport NY 11768","","","","","Yes","","","","null ","Andres Cepeda","Contracting Officer","andres.cepeda@va.gov","(908) 647-1080 ext 4457","","","","","","","OFFICE","NY","ALBANY","12208","USA","","https://sam.gov/opp/8f12d29f503a49968f34e9990f687c0b/view","The Department of Veterans Affairs, Network Contracting Office (NCO) 2 intends to release a commercial Total Small Business Set-Aside solicitation for Water Treatment Services at The Department of Veterans Affairs, Northport VA Medical Center. The Request for Quote (RFQ)/Solicitation number is 36C24223Q0795 and will be released on or about second week of June 2023. All other contract details including full specification and will be included in the RFQ. The closing date for the solicitation will be June 16, 2023 at 3:00 PM EST. The North American Industry Classification Systems (NAICS) is 561210 (Facility Support Services) and the standard size is $41.5 Million."
"8fa91085cf8442e99d6fd293f1c76ec6","ORA-2023-116505 High Resolution Inductively Coupled Plasma Mass Spectrometer","ORA-2023-116505","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","075","FOOD AND DRUG ADMINISTRATION","7524","FDA OFFICE OF ACQ  GRANT SVCS","75F401","2023-06-07 22:47:34.835-04","Solicitation","Solicitation","auto15","2023-06-16","","","2023-06-01T13:00:00-04:00","334516","H266","","Winchester","MA","01890","USA","Yes","","","","","","Courtney Black","Courtney.Black@fda.hhs.gov","","","","","","","","OFFICE","MD","Beltsville","20705","USA","","https://sam.gov/opp/8fa91085cf8442e99d6fd293f1c76ec6/view","High Resolution Inductively Coupled Plasma Mass Spectrometer"
"5b93ba13cff94e5c98e350de5c393f13","Q403--Health Care Screening","36C25923Q0576","VETERANS AFFAIRS, DEPARTMENT OF","036","VETERANS AFFAIRS, DEPARTMENT OF","3600","NETWORK CONTRACT OFFICE 19 (36C259)","36C259","2023-06-07 22:45:55.189-04","Solicitation","Presolicitation","autocustom","2023-09-21","","","2023-06-23T11:00:00-06:00","621999","Q403","","","","","","Yes","","","","null ","Contracting Officer","Andrew M Stigen (D Chief)","andrew.stigen@va.gov","","","","","","","","OFFICE","CO","Greenwood Village","80111","USA","","https://sam.gov/opp/5b93ba13cff94e5c98e350de5c393f13/view","36C25923Q0576"
"b0f583b8185e46c7ba1438b7c92a794f","SPECIAL ANNOUNCEMENT W58RGZ230042 DISPLAY UNIT, CONTROL","","DEPT OF DEFENSE","021","DEPT OF THE ARMY","2100","W6QK ACC-RSA","W58RGZ","2023-06-07 22:40:54.124-04","Special Notice","Special Notice","auto15","2023-07-07","","","2023-06-22T17:00:00-05:00","336413","1680","","","","","","Yes","","","","","","Edward A. Peterson","edward.a.peterson4.civ@army.mil","2563138529","","","Mariel L. Chambers","mariel.l.chambers.civ@army.mil","","","OFFICE","AL","REDSTONE ARSENAL","35898-0000","USA","","https://sam.gov/opp/b0f583b8185e46c7ba1438b7c92a794f/view","SPECIAL ANNOUNCEMENT W58RGZ23B0042, DISPLAY, UNIT CONTROL, INPUT NSN 1680-01-541-8790, P/N 1006448-30, REQUEST FOR TECHNICAL PROPOSAL SUBMISSION, A. This is a special announcement for the solicitation listed above under FAR Part 14, Sealed bidding, full and open competitive solicitation, NAICS code 336413. Two- Step Sealed Bidding procurement method as described in FAR Subpart 14.5. The two-step procedure is a combination of competitive procedures designed to obtain the benefits of sealed bidding while ensuring only technically acceptable firms participate in the priced sealed bid. The process allows for prospective bidders to participate in Step One, technical proposal submission and for the Government to conduct a technical evaluation. Step one ensures that only technically acceptable contractors participate in Step Two of the sealed bid process.�Step One, issued as a Request for Technical Proposal is issued here. The submission requirement of Step One, Request for Technical Proposal, shall not include any prices or pricing information. Under the procedure of FAR Subpart 14.5, Step One consists of the request for submission, evaluation and (if necessary) discussion of a technical proposal. Only one (1) technical proposal may be submitted by each offeror. The proposals will be evaluated for technical acceptability. Again, the technical proposal must not include prices or pricing information. A notice of ""acceptable"" or ""unacceptable"" will be forwarded to each Offeror who submits a proposal pursuant to Step One offeror upon completion of the technical proposal�evaluation and final determination. The names of the offerors which submitted acceptable technical proposals will be listed on the Government�s https://sam.gov/ website for the benefit of prospective subcontractors. In Step Two, the Government will issue the solicitation including the final technical specifications only to those bidders whose technical proposals are determined to be acceptable in Step One. The sealed bidding process in FAR Part 14 will be followed in Step Two. Only bids based upon technical proposals determined to be acceptable, either initially or because of discussions for Step One, will be considered for award. Each bid in Step Two must be based on the bidder's own technical proposal that was submitted, evaluated, and determined to be acceptable in Step One. The technical proposal submission will be prepared in accordance with paragraph B. B. The Government will review Step-One technical submissions for technical acceptability either initially, or as a result of discussions. The Government will ask only those contractors who received an acceptable rating to participate in Step Two of the bid process. The contractor must complete the following technical survey which will be used to determine its technical qualifications which it must pass to move onto step 2. The contractor�s response to the technical survey will be evaluated by technical experts at the Security Readiness Directorate (SRD). SRD is the airworthiness authority and must approve the technical qualifications of all perspective contractors. 1.�Technical expertise:�Describe your expertise with conducting an overhaul, or repair of the Display unit control for the UH-60? If not, have you performed an overhaul, or repair, on the same, or like item in the past? a. If yes, to either question, when, for how long, in what quantity, and what specific item? b. If it was under a military contract, what is the contract number? c. Who was the Primary Contracting Officer? Please provide his or her name, organization, and contact information. Please provide contact information for the Defense Contract Management Agency (DCMA) that served as your administrative contracting officer. d. What certifications and experience do your employees have to qualify them to perform the work? Provide all certifications relevant to the M&O program. 2.�Special testing equipment: Do you have OEM or equivalent test equipment for Display unit control ? a. If it is equivalent test equipment, was it certified as equivalent with a release for production certificate? If yes, please provide a copy of the certificate. b. If not in possession of OEM or equivalent test equipment, and plans are to reverse engineer one, do you have internal procedures to certify for equivalency and release for production? 3.�Engineering approach: Do you have an overhaul plan for the subject, or like item? If yes, provide a copy for evaluation. The plan must contain instructions and procedures covering the following major categories, at a minimum: a. Receiving inspection instructions. b. Initial testing and evaluation procedures. c. Disassembly, repair, and replacement instructions. d. Assembly instructions. e. Final testing and evaluation procedures. Can your company acquire all necessary components to complete an overhaul? If you have worked with the OEM for the subject item, or one of its approved suppliers, provide a copy of a completed, showing item receipt, purchase order for OEM, or approved supplier, parts, or materials. Do you possess or have access to any OEM data or drawings on the item? Is it complete or partial? If yes to possession of complete or partial OEM Data or Drawings, how did you acquire the rights to the data or drawings? Please provide your license or certificate to substantiate this. Provide a copy of the purchase order, or other evidence that you have the rights to the data or drawings in your possession. Do you have a quality plan in place? If so, please provide a copy. Technical submissions must be submitted to the Contracting Officer at email:edward.a.peterson4.civ@army.mil or the contract specialist, email: mariel.l.chambers.civ@army.mil� no later than 22 June 2023"
"0b5370328f514d08b6aa3fb4a5489855","6515--Vbeam Perfecta Laser (Multi-Laser Request 3 of 3)","36C25223Q0680","VETERANS AFFAIRS, DEPARTMENT OF","036","VETERANS AFFAIRS, DEPARTMENT OF","3600","252-NETWORK CONTRACT OFFICE 12 (36C252)","36C252","2023-06-07 22:37:21.52-04","Sources Sought","Sources Sought","autocustom","2023-08-08","","","2023-06-09T10:00:00-05:00","339112","6515","","","","","","Yes","","","","null ","Vernise L. Newton","vernise.newton@va.gov","vernise.newton@va.gov","414-844-4800 x43248","","","","","","","OFFICE","WI","MILWAUKEE","53214","USA","","https://sam.gov/opp/0b5370328f514d08b6aa3fb4a5489855/view","This Sources Sought Notice is for informational and planning purposes only and shall not be construed as a solicitation or as an obligation or commitment by the Government at this time. This notice is intended strictly for market research. The purpose of this Sources Sought notice is to determine interest and capability of Other than Small Businesses and/or Small Businesses, including VIP-Verified Veteran-Owned Small Business (VOSB) or Service-Disabled Veteran-Owned Small Business (SDVOSB) prospective contractors relative to the North American Industry Classification System (NAICS) Code 339112. This sources sought notice is to determine interest and capability of authorized vendors able to fulfill the following Brand Name Only Requirement: Item 0001: Vbeam Perfecta Gray System w/Standard 1 year warranty Item 0002: Shipping & Handling, Med Laser,Med Best Way If responding to this notice please provide the following: Qualifications, capabilities, and experience for providing this product; Business size/Socioeconomic status; Memo or correspondence from manufacturer to distribute their products. This is not a Request for Proposal/Quote or an announcement of a solicitation and no solicitation package exists at this time. Responses will be used solely for market research purposes of the Government. The Government will not pay for any materials provided in response to this notice and submissions will not be returned to the sender. VOSBs and SDVOSBs must be registered and verified in VIP for set-aside consideration. The applicable North American Industry Classification System (NAICS) Code for this requirement is 339112. Responses should be submitted by e-mail to Vernise L. Newton at vernise.newton@va.gov. The information requested must be received no later than 10:00 am Central Standard Time on 06/09/2023."
"59c82f385c2548c0aef88206a0a26f2e","Biomedical Advanced Research and Development Authority (BARDA) Broad Agency Announcement (BAA)","BARDABAA","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","075","OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE","7505","ASPR OFFICE OF THE ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE","75AN00","2023-06-07 22:21:49.245-04","Solicitation","Solicitation","autocustom","2023-09-25","","","2023-09-25T16:30:00-04:00","541714","AN13","","Washington","DC","20515","USA","Yes","","","","","","BARDA-BAA@hhs.gov","BARDA-BAA@hhs.gov","","","","BARDA-BAA@hhs.gov","BARDA-BAA@hhs.gov","","","OFFICE","DC","Washington","20201","USA","","https://sam.gov/opp/59c82f385c2548c0aef88206a0a26f2e/view","We appreciate your interest in partnering with BARDA.� The latest BARDA Broad Agency Announcement (BAA) is amendment 43 posted on June 7, 2023. All contracting related inquiries should be sent to BARDA-BAA@hhs.gov. BARDA will continuously review and expedite COVID-19 response related white papers and full proposals. Offerors should also complete the Submission Data Integration Table. The final white paper submission deadline is �September 25, 2023, at 4:30 PM Eastern Time. The final full proposal submission deadline is September 25, 2023, at 4:30 PM Eastern Time for open areas of interest or as specified in the invitation letter."
